
******************************************
               Running on cuda:0 
******************************************
Regulariser          :         2-norm , 0.1
Dataset              :              Covtype
Data size            :         (581012, 54)
No. Samples          :               581012
Dimensions           :                  378
x0                   :              uniform
Algorithm            :     FaithfulNewtonCR
..............................................................................................................................
     ite     |    inite    |    dtype    |    orcs     |    time     |      f      |   g_norm    |    alpha    |     acc     
     84      |      5      |     UNF     |    7650     |    19.33    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     85      |      5      |     UNF     |    7694     |    19.45    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     86      |      5      |     UNF     |    7738     |    19.56    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     87      |      5      |     UNF     |    7782     |    19.68    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     88      |      5      |     UNF     |    7826     |    19.79    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     89      |      5      |     UNF     |    7870     |    19.90    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     90      |      5      |     UNF     |    7914     |    20.02    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     91      |      5      |     UNF     |    7958     |    20.13    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     92      |      5      |     UNF     |    8002     |    20.25    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     93      |      5      |     UNF     |    8046     |    20.36    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     94      |      5      |     UNF     |    8090     |    20.48    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     95      |      5      |     UNF     |    8134     |    20.59    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     96      |      5      |     UNF     |    8178     |    20.70    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     97      |      5      |     UNF     |    8222     |    20.82    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     98      |      5      |     UNF     |    8266     |    20.93    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     99      |      5      |     UNF     |    8310     |    21.05    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     100     |      5      |     UNF     |    8354     |    21.16    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     101     |      5      |     UNF     |    8398     |    21.27    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     102     |      5      |     UNF     |    8442     |    21.39    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     103     |      5      |     UNF     |    8486     |    21.50    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     104     |      5      |     UNF     |    8530     |    21.62    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     105     |      5      |     UNF     |    8574     |    21.73    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     106     |      5      |     UNF     |    8618     |    21.84    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     107     |      5      |     UNF     |    8662     |    21.96    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     108     |      5      |     UNF     |    8706     |    22.07    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     109     |      5      |     UNF     |    8750     |    22.19    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     110     |      5      |     UNF     |    8794     |    22.30    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     111     |      5      |     UNF     |    8838     |    22.42    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     112     |      5      |     UNF     |    8882     |    22.53    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     113     |      5      |     UNF     |    8926     |    22.64    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     114     |      5      |     UNF     |    8970     |    22.76    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     115     |      5      |     UNF     |    9014     |    22.87    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     116     |      5      |     UNF     |    9058     |    22.99    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     117     |      5      |     UNF     |    9102     |    23.10    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     118     |      5      |     UNF     |    9146     |    23.21    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     119     |      5      |     UNF     |    9190     |    23.33    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     120     |      5      |     UNF     |    9234     |    23.44    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     121     |      5      |     UNF     |    9278     |    23.56    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     122     |      5      |     UNF     |    9322     |    23.67    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     123     |      5      |     UNF     |    9366     |    23.78    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     124     |      5      |     UNF     |    9410     |    23.90    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     125     |      5      |     UNF     |    9454     |    24.01    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     126     |      5      |     UNF     |    9499     |    24.13    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     127     |      5      |     UNF     |    9544     |    24.25    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     128     |      5      |     UNF     |    9589     |    24.36    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     129     |      5      |     UNF     |    9634     |    24.48    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     130     |      5      |     UNF     |    9679     |    24.60    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     131     |      5      |     UNF     |    9724     |    24.71    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     132     |      5      |     UNF     |    9769     |    24.83    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     133     |      5      |     UNF     |    9814     |    24.95    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     134     |      5      |     UNF     |    9859     |    25.06    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     135     |      5      |     UNF     |    9904     |    25.18    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     136     |      5      |     UNF     |    9949     |    25.30    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     137     |      5      |     UNF     |    9994     |    25.42    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     138     |      5      |     UNF     |    10039    |    25.53    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     139     |      5      |     UNF     |    10084    |    25.65    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     140     |      5      |     UNF     |    10129    |    25.77    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     141     |      5      |     UNF     |    10174    |    25.88    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     142     |      5      |     UNF     |    10219    |    26.00    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     143     |      5      |     UNF     |    10264    |    26.12    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     144     |      5      |     UNF     |    10309    |    26.23    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     145     |      5      |     UNF     |    10354    |    26.35    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     146     |      5      |     UNF     |    10399    |    26.47    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     147     |      5      |     UNF     |    10444    |    26.58    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     148     |      5      |     UNF     |    10489    |    26.70    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     149     |      5      |     UNF     |    10534    |    26.82    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     150     |      5      |     UNF     |    10579    |    26.93    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     151     |      5      |     UNF     |    10624    |    27.05    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     152     |      5      |     UNF     |    10669    |    27.17    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     153     |      5      |     UNF     |    10714    |    27.29    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     154     |      5      |     UNF     |    10759    |    27.40    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     155     |      5      |     UNF     |    10804    |    27.52    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     156     |      5      |     UNF     |    10849    |    27.64    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     157     |      5      |     UNF     |    10894    |    27.75    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     158     |      5      |     UNF     |    10939    |    27.87    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     159     |      5      |     UNF     |    10984    |    27.99    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     160     |      5      |     UNF     |    11029    |    28.10    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     161     |      5      |     UNF     |    11074    |    28.22    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     162     |      5      |     UNF     |    11119    |    28.34    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     163     |      5      |     UNF     |    11164    |    28.45    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     164     |      5      |     UNF     |    11209    |    28.57    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     165     |      5      |     UNF     |    11254    |    28.69    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     166     |      5      |     UNF     |    11299    |    28.80    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     167     |      5      |     UNF     |    11344    |    28.92    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     168     |      5      |     UNF     |    11389    |    29.04    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     169     |      5      |     UNF     |    11434    |    29.15    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     170     |      5      |     UNF     |    11479    |    29.27    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     171     |      5      |     UNF     |    11524    |    29.39    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     172     |      5      |     UNF     |    11569    |    29.51    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     173     |      5      |     UNF     |    11614    |    29.62    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     174     |      5      |     UNF     |    11659    |    29.74    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     175     |      5      |     UNF     |    11704    |    29.86    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     176     |      5      |     UNF     |    11749    |    29.97    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     177     |      5      |     UNF     |    11794    |    30.09    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     178     |      5      |     UNF     |    11839    |    30.21    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     179     |      5      |     UNF     |    11884    |    30.32    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     180     |      5      |     UNF     |    11929    |    30.44    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     181     |      5      |     UNF     |    11974    |    30.56    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     182     |      5      |     UNF     |    12019    |    30.67    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
