
******************************************
               Running on cuda:0 
******************************************
Regulariser          :         2-norm , 0.1
Dataset              :              Covtype
Data size            :         (581012, 54)
No. Samples          :               581012
Dimensions           :                  378
x0                   :              uniform
Algorithm            :     FaithfulNewtonCR
..............................................................................................................................
     ite     |    inite    |    dtype    |    orcs     |    time     |      f      |   g_norm    |    alpha    |     acc     
     183     |      5      |     UNF     |    12064    |    30.79    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     184     |      5      |     UNF     |    12109    |    30.91    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     185     |      5      |     UNF     |    12154    |    31.02    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     186     |      5      |     UNF     |    12199    |    31.14    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     187     |      5      |     UNF     |    12244    |    31.26    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     188     |      5      |     UNF     |    12289    |    31.38    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     189     |      5      |     UNF     |    12334    |    31.49    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     190     |      5      |     UNF     |    12379    |    31.61    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     191     |      5      |     UNF     |    12424    |    31.73    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     192     |      5      |     UNF     |    12469    |    31.84    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     193     |      5      |     UNF     |    12514    |    31.96    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     194     |      5      |     UNF     |    12559    |    32.08    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     195     |      5      |     UNF     |    12604    |    32.19    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     196     |      5      |     UNF     |    12649    |    32.31    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     197     |      5      |     UNF     |    12694    |    32.43    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     198     |      5      |     UNF     |    12739    |    32.54    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     199     |      5      |     UNF     |    12784    |    32.66    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     200     |      5      |     UNF     |    12829    |    32.78    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     201     |      5      |     UNF     |    12874    |    32.90    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     202     |      5      |     UNF     |    12919    |    33.01    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     203     |      5      |     UNF     |    12964    |    33.13    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     204     |      5      |     UNF     |    13009    |    33.25    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     205     |      5      |     UNF     |    13054    |    33.36    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     206     |      5      |     UNF     |    13099    |    33.48    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     207     |      5      |     UNF     |    13144    |    33.60    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     208     |      5      |     UNF     |    13189    |    33.71    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     209     |      5      |     UNF     |    13234    |    33.83    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     210     |      5      |     UNF     |    13279    |    33.95    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     211     |      5      |     UNF     |    13324    |    34.06    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     212     |      5      |     UNF     |    13369    |    34.18    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     213     |      5      |     UNF     |    13414    |    34.30    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     214     |      5      |     UNF     |    13459    |    34.41    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     215     |      5      |     UNF     |    13504    |    34.53    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     216     |      5      |     UNF     |    13549    |    34.65    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     217     |      5      |     UNF     |    13594    |    34.76    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     218     |      5      |     UNF     |    13639    |    34.88    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     219     |      5      |     UNF     |    13684    |    35.00    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     220     |      5      |     UNF     |    13729    |    35.12    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     221     |      5      |     UNF     |    13774    |    35.23    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     222     |      5      |     UNF     |    13819    |    35.35    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     223     |      5      |     UNF     |    13864    |    35.47    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     224     |      5      |     UNF     |    13909    |    35.58    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     225     |      5      |     UNF     |    13954    |    35.70    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     226     |      5      |     UNF     |    13999    |    35.82    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     227     |      5      |     UNF     |    14044    |    35.93    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     228     |      5      |     UNF     |    14089    |    36.05    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     229     |      5      |     UNF     |    14134    |    36.17    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     230     |      5      |     UNF     |    14179    |    36.28    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     231     |      5      |     UNF     |    14224    |    36.40    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     232     |      5      |     UNF     |    14269    |    36.52    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     233     |      5      |     UNF     |    14314    |    36.64    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     234     |      5      |     UNF     |    14359    |    36.75    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     235     |      5      |     UNF     |    14404    |    36.87    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     236     |      5      |     UNF     |    14449    |    36.99    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     237     |      5      |     UNF     |    14494    |    37.10    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     238     |      5      |     UNF     |    14539    |    37.22    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     239     |      5      |     UNF     |    14584    |    37.34    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     240     |      5      |     UNF     |    14629    |    37.45    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     241     |      5      |     UNF     |    14674    |    37.57    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     242     |      5      |     UNF     |    14719    |    37.69    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     243     |      5      |     UNF     |    14764    |    37.80    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     244     |      5      |     UNF     |    14809    |    37.92    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     245     |      5      |     UNF     |    14854    |    38.04    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     246     |      5      |     UNF     |    14899    |    38.15    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     247     |      5      |     UNF     |    14944    |    38.27    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     248     |      5      |     UNF     |    14989    |    38.39    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     249     |      5      |     UNF     |    15034    |    38.51    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     250     |      5      |     UNF     |    15079    |    38.62    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     251     |      5      |     UNF     |    15124    |    38.74    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     252     |      5      |     UNF     |    15169    |    38.86    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     253     |      5      |     UNF     |    15214    |    38.97    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     254     |      5      |     UNF     |    15259    |    39.09    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     255     |      5      |     UNF     |    15304    |    39.21    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     256     |      5      |     UNF     |    15349    |    39.32    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     257     |      5      |     UNF     |    15394    |    39.44    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     258     |      5      |     UNF     |    15439    |    39.56    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     259     |      5      |     UNF     |    15484    |    39.67    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     260     |      5      |     UNF     |    15529    |    39.79    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     261     |      5      |     UNF     |    15574    |    39.91    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     262     |      5      |     UNF     |    15619    |    40.02    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     263     |      5      |     UNF     |    15664    |    40.14    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     264     |      5      |     UNF     |    15709    |    40.26    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     265     |      5      |     UNF     |    15754    |    40.38    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     266     |      5      |     UNF     |    15799    |    40.49    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     267     |      5      |     UNF     |    15844    |    40.61    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     268     |      5      |     UNF     |    15889    |    40.73    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     269     |      5      |     UNF     |    15934    |    40.84    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     270     |      5      |     UNF     |    15979    |    40.96    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     271     |      5      |     UNF     |    16024    |    41.08    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     272     |      5      |     UNF     |    16069    |    41.19    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     273     |      5      |     UNF     |    16114    |    41.31    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     274     |      5      |     UNF     |    16159    |    41.43    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     275     |      5      |     UNF     |    16204    |    41.54    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     276     |      5      |     UNF     |    16249    |    41.66    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     277     |      5      |     UNF     |    16294    |    41.78    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     278     |      5      |     UNF     |    16339    |    41.89    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     279     |      5      |     UNF     |    16384    |    42.01    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     280     |      5      |     UNF     |    16429    |    42.13    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     281     |      5      |     UNF     |    16474    |    42.25    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     282     |      5      |     UNF     |    16519    |    42.36    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     283     |      5      |     UNF     |    16564    |    42.48    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     284     |      5      |     UNF     |    16609    |    42.60    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     285     |      5      |     UNF     |    16654    |    42.71    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     286     |      5      |     UNF     |    16699    |    42.83    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     287     |      5      |     UNF     |    16744    |    42.95    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     288     |      5      |     UNF     |    16789    |    43.06    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     289     |      5      |     UNF     |    16834    |    43.18    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     290     |      5      |     UNF     |    16879    |    43.30    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     291     |      5      |     UNF     |    16924    |    43.41    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     292     |      5      |     UNF     |    16969    |    43.53    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     293     |      5      |     UNF     |    17014    |    43.65    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     294     |      5      |     UNF     |    17059    |    43.76    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     295     |      5      |     UNF     |    17104    |    43.88    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     296     |      5      |     UNF     |    17149    |    44.00    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     297     |      5      |     UNF     |    17194    |    44.12    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     298     |      5      |     UNF     |    17239    |    44.23    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     299     |      5      |     UNF     |    17284    |    44.35    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     300     |      5      |     UNF     |    17329    |    44.47    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     301     |      5      |     UNF     |    17374    |    44.58    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     302     |      5      |     UNF     |    17419    |    44.70    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     303     |      5      |     UNF     |    17464    |    44.82    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     304     |      5      |     UNF     |    17509    |    44.93    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     305     |      5      |     UNF     |    17554    |    45.05    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     306     |      5      |     UNF     |    17599    |    45.17    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     307     |      5      |     UNF     |    17644    |    45.28    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     308     |      5      |     UNF     |    17689    |    45.40    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     309     |      5      |     UNF     |    17734    |    45.52    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     310     |      5      |     UNF     |    17779    |    45.63    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     311     |      5      |     UNF     |    17824    |    45.75    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     312     |      5      |     UNF     |    17869    |    45.87    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     313     |      5      |     UNF     |    17914    |    45.99    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     314     |      5      |     UNF     |    17959    |    46.10    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     315     |      5      |     UNF     |    18004    |    46.22    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     316     |      5      |     UNF     |    18049    |    46.34    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     317     |      5      |     UNF     |    18094    |    46.45    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     318     |      5      |     UNF     |    18139    |    46.57    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
